x,t=0.000000,t=0.050000,t=0.100000,t=0.150000,t=0.200000,t=0.250000,t=0.300000,t=0.350000,t=0.400000,t=0.450000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,260.164291,275.680378,285.152919,290.935886,294.466376,296.621734,297.937575,298.740894,299.231318,299.530721,299.713506
0.100000,221.309469,251.959586,270.671422,282.094961,289.069009,293.326652,295.925934,297.512791,298.481564,299.072998,299.434067
0.150000,184.392269,229.421708,256.912092,273.694917,283.940799,290.195890,294.014610,296.345931,297.769198,298.638100,299.168563
0.200000,150.321715,208.621702,244.213730,265.942592,279.208020,287.306537,292.250666,295.269047,297.111762,298.236737,298.923531
0.250000,119.936737,190.071733,232.889010,259.028873,274.987208,284.729740,290.677536,294.308654,296.525445,297.878791,298.705006
0.300000,93.985514,174.228563,223.216786,253.124000,271.382294,282.528947,289.333957,293.488402,296.024682,297.573076,298.518368
0.350000,73.107052,161.482303,215.435220,248.373369,268.482043,280.758350,288.253011,292.828486,295.621805,297.327121,298.368212
0.400000,57.815447,152.146809,209.735919,244.893957,266.357869,279.461546,287.461314,292.345157,295.326734,297.146980,298.258237
0.450000,48.487229,146.451950,206.259219,242.771438,265.062076,278.670466,286.978362,292.050316,295.146733,297.037090,298.191149
0.500000,45.352091,144.537954,205.090728,242.058077,264.626570,278.404591,286.816046,291.951222,295.086237,297.000157,298.168602
0.550000,48.487229,146.451950,206.259219,242.771438,265.062076,278.670466,286.978362,292.050316,295.146733,297.037090,298.191149
0.600000,57.815447,152.146809,209.735919,244.893957,266.357869,279.461546,287.461314,292.345157,295.326734,297.146980,298.258237
0.650000,73.107052,161.482303,215.435220,248.373369,268.482043,280.758350,288.253011,292.828486,295.621805,297.327121,298.368212
0.700000,93.985514,174.228563,223.216786,253.124000,271.382294,282.528947,289.333957,293.488402,296.024682,297.573076,298.518368
0.750000,119.936737,190.071733,232.889010,259.028873,274.987208,284.729740,290.677536,294.308654,296.525445,297.878791,298.705006
0.800000,150.321715,208.621702,244.213730,265.942592,279.208020,287.306537,292.250666,295.269047,297.111762,298.236737,298.923531
0.850000,184.392269,229.421708,256.912092,273.694917,283.940799,290.195890,294.014610,296.345931,297.769198,298.638100,299.168563
0.900000,221.309469,251.959586,270.671422,282.094961,289.069009,293.326652,295.925934,297.512791,298.481564,299.072998,299.434067
0.950000,260.164291,275.680378,285.152919,290.935886,294.466376,296.621734,297.937575,298.740894,299.231318,299.530721,299.713506
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
