x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.025000,280.020555,292.553504,297.224633,298.965599,299.614471,299.856310
0.050000,260.164291,285.152919,294.466376,297.937575,299.231318,299.713506
0.075000,240.553626,277.843871,291.742237,296.922267,298.852905,299.572469
0.100000,221.309469,270.671422,289.069009,295.925934,298.481564,299.434067
0.125000,202.550464,263.679794,286.463175,294.954719,298.119584,299.299154
0.150000,184.392269,256.912092,283.940799,294.014610,297.769198,299.168563
0.175000,166.946833,250.410042,281.517434,293.111403,297.432566,299.043097
0.200000,150.321715,244.213730,279.208020,292.250666,297.111762,298.923531
0.225000,134.619413,238.361359,277.026795,291.437706,296.808766,298.810602
0.250000,119.936737,232.889010,274.987208,290.677536,296.525445,298.705006
0.275000,106.364211,227.830424,273.101833,289.974842,296.263545,298.607394
0.300000,93.985514,223.216786,271.382294,289.333957,296.024682,298.518368
0.325000,82.876965,219.076543,269.839193,288.758831,295.810328,298.438476
0.350000,73.107052,215.435220,268.482043,288.253011,295.621805,298.368212
0.375000,64.736009,212.315266,267.319212,287.819614,295.460275,298.308009
0.400000,57.815447,209.735919,266.357869,287.461314,295.326734,298.258237
0.425000,52.388033,207.713079,265.603941,287.180319,295.222004,298.219204
0.450000,48.487229,206.259219,265.062076,286.978362,295.146733,298.191149
0.475000,46.137086,205.383302,264.735615,286.856687,295.101384,298.174248
0.500000,45.352091,205.090728,264.626570,286.816046,295.086237,298.168602
0.525000,46.137086,205.383302,264.735615,286.856687,295.101384,298.174248
0.550000,48.487229,206.259219,265.062076,286.978362,295.146733,298.191149
0.575000,52.388033,207.713079,265.603941,287.180319,295.222004,298.219204
0.600000,57.815447,209.735919,266.357869,287.461314,295.326734,298.258237
0.625000,64.736009,212.315266,267.319212,287.819614,295.460275,298.308009
0.650000,73.107052,215.435220,268.482043,288.253011,295.621805,298.368212
0.675000,82.876965,219.076543,269.839193,288.758831,295.810328,298.438476
0.700000,93.985514,223.216786,271.382294,289.333957,296.024682,298.518368
0.725000,106.364211,227.830424,273.101833,289.974842,296.263545,298.607394
0.750000,119.936737,232.889010,274.987208,290.677536,296.525445,298.705006
0.775000,134.619413,238.361359,277.026795,291.437706,296.808766,298.810602
0.800000,150.321715,244.213730,279.208020,292.250666,297.111762,298.923531
0.825000,166.946833,250.410042,281.517434,293.111403,297.432566,299.043097
0.850000,184.392269,256.912092,283.940799,294.014610,297.769198,299.168563
0.875000,202.550464,263.679794,286.463175,294.954719,298.119584,299.299154
0.900000,221.309469,270.671422,289.069009,295.925934,298.481564,299.434067
0.925000,240.553626,277.843871,291.742237,296.922267,298.852905,299.572469
0.950000,260.164291,285.152919,294.466376,297.937575,299.231318,299.713506
0.975000,280.020555,292.553504,297.224633,298.965599,299.614471,299.856310
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
