x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,193.636045,230.202735,249.477353,261.470136,269.675482
0.100000,100.000000,238.154157,280.248283,296.276400,303.046616,305.928988
0.150000,100.000000,253.676459,292.998822,303.978350,306.460984,306.218564
0.200000,100.000000,253.144367,290.456718,299.865903,301.626724,301.330163
0.250000,100.000000,244.751656,283.214064,294.280281,297.478416,298.387936
0.300000,100.000000,233.588531,275.874028,290.244944,295.457822,297.552608
0.350000,100.000000,222.743602,270.079997,288.003488,294.930461,297.746488
0.400000,100.000000,214.033228,266.153094,287.001516,295.069151,298.182725
0.450000,100.000000,208.473245,263.940892,286.653166,295.327084,298.508362
0.500000,100.000000,206.569236,263.232529,286.579323,295.438092,298.621678
0.550000,100.000000,208.473245,263.940892,286.653166,295.327084,298.508362
0.600000,100.000000,214.033228,266.153094,287.001516,295.069151,298.182725
0.650000,100.000000,222.743602,270.079997,288.003488,294.930461,297.746488
0.700000,100.000000,233.588531,275.874028,290.244944,295.457822,297.552608
0.750000,100.000000,244.751656,283.214064,294.280281,297.478416,298.387936
0.800000,100.000000,253.144367,290.456718,299.865903,301.626724,301.330163
0.850000,100.000000,253.676459,292.998822,303.978350,306.460984,306.218564
0.900000,100.000000,238.154157,280.248283,296.276400,303.046616,305.928988
0.950000,100.000000,193.636045,230.202735,249.477353,261.470136,269.675482
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
