x,t=0.000000,t=0.083000,t=0.166000,t=0.249000,t=0.332000,t=0.415000,t=0.498000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,282.498784,292.312370,296.619362,298.513361,299.346249,299.712512
0.100000,100.000000,265.432269,284.814038,293.321966,297.063328,298.708596,299.432104
0.150000,100.000000,249.223631,277.689637,290.189006,295.685606,298.102741,299.165679
0.200000,100.000000,234.273462,271.114596,287.297625,294.414118,297.543603,298.919797
0.250000,100.000000,220.949580,265.250813,284.719018,293.280174,297.044950,298.700514
0.300000,100.000000,209.578042,260.242674,282.516681,292.311693,296.619060,298.513228
0.350000,100.000000,200.435553,256.213493,280.744840,291.532525,296.276420,298.362552
0.400000,100.000000,193.743376,253.262481,279.447125,290.961854,296.025466,298.252195
0.450000,100.000000,189.662717,251.462299,278.655491,290.613731,295.872379,298.184875
0.500000,100.000000,188.291545,250.857273,278.389429,290.496730,295.820928,298.162249
0.550000,100.000000,189.662717,251.462299,278.655491,290.613731,295.872379,298.184875
0.600000,100.000000,193.743376,253.262481,279.447125,290.961854,296.025466,298.252195
0.650000,100.000000,200.435553,256.213493,280.744840,291.532525,296.276420,298.362552
0.700000,100.000000,209.578042,260.242674,282.516681,292.311693,296.619060,298.513228
0.750000,100.000000,220.949580,265.250813,284.719018,293.280174,297.044950,298.700514
0.800000,100.000000,234.273462,271.114596,287.297625,294.414118,297.543603,298.919797
0.850000,100.000000,249.223631,277.689637,290.189006,295.685606,298.102741,299.165679
0.900000,100.000000,265.432269,284.814038,293.321966,297.063328,298.708596,299.432104
0.950000,100.000000,282.498784,292.312370,296.619362,298.513361,299.346249,299.712512
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
