x,t=0.000000,t=0.050000,t=0.100000,t=0.150000,t=0.200000,t=0.250000,t=0.300000,t=0.350000,t=0.400000,t=0.450000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,4100.000000,-151900.000000,7532100.000000,-416943900.000000,24718420099.999977,-1534882375899.998535,98545876668099.890625,-6488842436447891.000000,435789468698275392.000000,-29736161255367106560.000000
0.100000,100.000000,100.000000,80100.000000,-6159900.000000,422880100.000000,-28543199899.999977,1934273200099.997803,-132277662319899.828125,9136230683840086.000000,-637018598806718848.000000,44799708831875514368.000000
0.150000,100.000000,100.000000,100.000000,1600100.000000,-185599900.000000,16336000099.999985,-1307167999899.998535,100324216000099.859375,-7546437670399889.000000,562009705222399232.000000,-41656283685567922176.000000
0.200000,100.000000,100.000000,100.000000,100.000000,32000100.000000,-4959999899.999995,532960000099.999451,-49411999999899.929688,4248701120000093.000000,-349876660287999296.000000,28056191228479950848.000000
0.250000,100.000000,100.000000,100.000000,100.000000,100.000000,640000099.999999,-124159999899.999863,15757440000099.980469,-1662428159999897.500000,158540368639999840.000000,-14213965918719971328.000000
0.300000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,12800000099.999987,-2982399999899.996582,436582400000099.375000,-51667916799999808.000000,5416850047999989760.000000
0.350000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,256000000099.999695,-69631999999899.906250,11549696000000084.000000,-1515642879999997184.000000
0.400000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,5120000000099.993164,-1592319999999897.500000,295142399999999680.000000
0.450000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,102400000000099.843750,-35839999999999840.000000
0.500000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,4096000000000093.000000
0.550000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,102400000000099.843750,-35839999999999840.000000
0.600000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,5120000000099.993164,-1592319999999897.500000,295142399999999680.000000
0.650000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,256000000099.999695,-69631999999899.906250,11549696000000084.000000,-1515642879999997184.000000
0.700000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,12800000099.999987,-2982399999899.996582,436582400000099.375000,-51667916799999808.000000,5416850047999989760.000000
0.750000,100.000000,100.000000,100.000000,100.000000,100.000000,640000099.999999,-124159999899.999863,15757440000099.980469,-1662428159999897.500000,158540368639999808.000000,-14213965918719971328.000000
0.800000,100.000000,100.000000,100.000000,100.000000,32000100.000000,-4959999899.999995,532960000099.999451,-49411999999899.929688,4248701120000092.500000,-349876660287999232.000000,28056191228479938560.000000
0.850000,100.000000,100.000000,100.000000,1600100.000000,-185599900.000000,16336000099.999985,-1307167999899.998291,100324216000099.843750,-7546437670399888.000000,562009705222399040.000000,-41656283685567913984.000000
0.900000,100.000000,100.000000,80100.000000,-6159900.000000,422880100.000000,-28543199899.999969,1934273200099.997559,-132277662319899.796875,9136230683840084.000000,-637018598806718720.000000,44799708831875506176.000000
0.950000,100.000000,4100.000000,-151900.000000,7532100.000000,-416943900.000000,24718420099.999977,-1534882375899.998291,98545876668099.859375,-6488842436447889.000000,435789468698275264.000000,-29736161255367102464.000000
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
