x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,8100.000000,-623900.000000,62104100.000000,-6915807899.999995,824953640099.999268
0.100000,100.000000,100.000000,320100.000000,-50239900.000000,6965120099.999995,-947708799899.999268
0.150000,100.000000,100.000000,100.000000,12800100.000000,-3020799899.999998,537728000099.999512
0.200000,100.000000,100.000000,100.000000,100.000000,512000100.000000,-161279999899.999847
0.250000,100.000000,100.000000,100.000000,100.000000,100.000000,20480000099.999981
0.300000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.350000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.400000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.450000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.500000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.550000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.600000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.650000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.700000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.750000,100.000000,100.000000,100.000000,100.000000,100.000000,20480000099.999981
0.800000,100.000000,100.000000,100.000000,100.000000,512000100.000000,-161279999899.999847
0.850000,100.000000,100.000000,100.000000,12800100.000000,-3020799899.999998,537728000099.999512
0.900000,100.000000,100.000000,320100.000000,-50239900.000000,6965120099.999995,-947708799899.999023
0.950000,100.000000,8100.000000,-623900.000000,62104100.000000,-6915807899.999995,824953640099.999268
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
