x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.100000,100.000000,-17900.000000,-53718700.000000,-251485454299.998199,-1255957836841888.250000,-6314862708252544000.000000,-31772105694027832098816.000000
0.200000,100.000000,28700.000000,99162500.000000,476839500899.996582,2388213818566277.500000,12011201264853975040.000000,60433944907096168333312.000000
0.300000,100.000000,-28700.000000,-131351499.999999,-653737054299.995361,-3285801415759869.000000,-16531351402056005632.000000,-83179863512943935094784.000000
0.400000,100.000000,24500.000000,149531499.999999,766063875299.994385,3861461601298063.000000,19433152004724703232.000000,97783484419237096718336.000000
0.500000,100.000000,-21500.000000,-155265499.999999,-804503199899.994141,-4059687157835861.500000,-20432977387606921216.000000,-102815515637832231157760.000000
0.600000,100.000000,24500.000000,149531499.999999,766063875299.994507,3861461601298064.000000,19433152004724703232.000000,97783484419237096718336.000000
0.700000,100.000000,-28700.000000,-131351499.999999,-653737054299.995239,-3285801415759869.000000,-16531351402056005632.000000,-83179863512943951872000.000000
0.800000,100.000000,28700.000000,99162500.000000,476839500899.996521,2388213818566277.000000,12011201264853975040.000000,60433944907096168333312.000000
0.900000,100.000000,-17900.000000,-53718700.000000,-251485454299.998169,-1255957836841888.000000,-6314862708252542976.000000,-31772105694027832098816.000000
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
