x,t=0.000000,t=0.083000,t=0.166000,t=0.249000,t=0.332000,t=0.415000,t=0.498000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,282.340246,292.187539,296.536703,298.464699,299.319392,299.698282
0.100000,100.000000,265.122423,284.567453,293.158684,296.967202,298.655542,299.403993
0.150000,100.000000,248.776036,277.327380,289.949121,295.544383,298.024797,299.124380
0.200000,100.000000,233.706375,270.645597,286.987044,294.231276,297.442689,298.866328
0.250000,100.000000,220.283935,264.686631,284.345389,293.060214,296.923550,298.636191
0.300000,100.000000,208.835409,259.597209,282.089203,292.060032,296.480163,298.439634
0.350000,100.000000,199.636483,255.502642,280.274040,291.255359,296.123447,298.281500
0.400000,100.000000,192.906396,252.503745,278.944595,290.666008,295.862184,298.165680
0.450000,100.000000,188.804131,250.674355,278.133605,290.306491,295.702807,298.095028
0.500000,100.000000,187.425965,250.059512,277.861037,290.185660,295.649242,298.071282
0.550000,100.000000,188.804131,250.674355,278.133605,290.306491,295.702807,298.095028
0.600000,100.000000,192.906396,252.503745,278.944595,290.666008,295.862184,298.165680
0.650000,100.000000,199.636483,255.502642,280.274040,291.255359,296.123447,298.281500
0.700000,100.000000,208.835409,259.597209,282.089203,292.060032,296.480163,298.439634
0.750000,100.000000,220.283935,264.686631,284.345389,293.060214,296.923550,298.636191
0.800000,100.000000,233.706375,270.645597,286.987044,294.231276,297.442689,298.866328
0.850000,100.000000,248.776036,277.327380,289.949121,295.544383,298.024797,299.124380
0.900000,100.000000,265.122423,284.567453,293.158684,296.967202,298.655542,299.403993
0.950000,100.000000,282.340246,292.187539,296.536703,298.464699,299.319392,299.698282
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
