x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,273.363117,289.429924,294.872797,297.434743,298.709383
0.100000,100.000000,251.060313,279.261517,289.881666,294.933535,297.450632
0.150000,100.000000,232.534016,269.798141,285.156038,292.558623,296.254808
0.200000,100.000000,217.321070,261.266368,280.814358,290.368776,295.151389
0.250000,100.000000,205.041150,253.833228,276.961378,288.417790,294.167535
0.300000,100.000000,195.387259,247.619889,273.686601,286.753213,293.327425
0.350000,100.000000,188.118050,242.712366,271.063493,285.415302,292.651670
0.400000,100.000000,183.051792,239.169702,269.149162,284.436187,292.156825
0.450000,100.000000,180.061828,237.029984,267.984318,283.839247,291.854995
0.500000,100.000000,179.073411,236.314471,267.593332,283.638680,291.753559
0.550000,100.000000,180.061828,237.029984,267.984318,283.839247,291.854995
0.600000,100.000000,183.051792,239.169702,269.149162,284.436187,292.156825
0.650000,100.000000,188.118050,242.712366,271.063493,285.415302,292.651670
0.700000,100.000000,195.387259,247.619889,273.686601,286.753213,293.327425
0.750000,100.000000,205.041150,253.833228,276.961378,288.417790,294.167535
0.800000,100.000000,217.321070,261.266368,280.814358,290.368776,295.151389
0.850000,100.000000,232.534016,269.798141,285.156038,292.558623,296.254808
0.900000,100.000000,251.060313,279.261517,289.881666,294.933535,297.450632
0.950000,100.000000,273.363117,289.429924,294.872797,297.434743,298.709383
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
