x,t=0.000000,t=0.200000,t=0.400000
0.000000,300.000000,300.000000,300.000000
0.050000,100.000000,283.183902,295.360914
0.100000,100.000000,268.657604,290.874040
0.150000,100.000000,256.239525,286.664872
0.200000,100.000000,245.774440,282.836021
0.250000,100.000000,237.131536,279.470440
0.300000,100.000000,230.202776,276.634095
0.350000,100.000000,224.901551,274.378141
0.400000,100.000000,221.161595,272.740645
0.450000,100.000000,218.936159,271.747887
0.500000,100.000000,218.197425,271.415275
0.550000,100.000000,218.936159,271.747887
0.600000,100.000000,221.161595,272.740645
0.650000,100.000000,224.901551,274.378141
0.700000,100.000000,230.202776,276.634095
0.750000,100.000000,237.131536,279.470440
0.800000,100.000000,245.774440,282.836021
0.850000,100.000000,256.239525,286.664872
0.900000,100.000000,268.657604,290.874040
0.950000,100.000000,283.183902,295.360914
1.000000,300.000000,300.000000,300.000000
