x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.100000,100.000000,262.504661,282.480880,291.702476,296.069157,298.137807,299.117807
0.200000,100.000000,229.067716,266.679717,284.217196,292.523092,296.457899,298.321969
0.300000,100.000000,203.015350,254.143777,278.276877,289.708920,295.124716,297.690389
0.400000,100.000000,186.588778,246.097730,274.462977,287.902110,294.268760,297.284889
0.500000,100.000000,180.990895,243.325789,273.148801,287.279525,293.973817,297.145163
0.600000,100.000000,186.588778,246.097730,274.462977,287.902110,294.268760,297.284889
0.700000,100.000000,203.015350,254.143777,278.276877,289.708920,295.124716,297.690389
0.800000,100.000000,229.067716,266.679717,284.217196,292.523092,296.457899,298.321969
0.900000,100.000000,262.504661,282.480880,291.702476,296.069157,298.137807,299.117807
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
